id,type,subtype2,subtype1,player1,player2,team,lon,lat,elapsed,elapsed_plus,game_id
539960,goal,shot,n,24635,30618,8650,NA,NA,53,NA,1829
540010,goal,shot,n,24635,24800,8650,NA,NA,58,NA,1829
539948,goal,NA,dg,30342,NA,8655,NA,NA,47,NA,1830
540576,goal,shot,n,39297,NA,9825,NA,NA,40,NA,1832
540603,goal,shot,n,27277,30935,9825,NA,NA,49,NA,1832
540641,goal,NA,p,23782,NA,10252,NA,NA,64,NA,1832
540721,goal,shot,n,40128,23354,10252,NA,NA,90,1,1832
539458,goal,shot,dg,36012,NA,8668,NA,NA,10,NA,1833
539944,goal,loose_ball,n,30876,NA,8668,NA,NA,51,NA,1833
539529,goal,shot,n,41622,24213,8456,NA,NA,15,NA,1834
539677,goal,shot,n,41622,24213,8456,NA,NA,27,NA,1834
539690,goal,shot,n,33974,24213,8456,NA,NA,28,NA,1834
539760,goal,shot,n,33974,30367,8456,NA,NA,36,NA,1834
540286,goal,loose_ball,n,23034,NA,8667,NA,NA,80,NA,1834
540294,goal,shot,n,24213,33974,8456,NA,NA,82,NA,1834
538564,goal,shot,n,40987,30830,8462,NA,NA,8,NA,1835
538655,goal,shot,n,109898,34543,8654,NA,NA,20,NA,1835
538898,goal,NA,psm,30348,NA,8462,NA,NA,45,2,1835
539163,goal,shot,n,34543,30966,8654,NA,NA,67,NA,1835
539187,goal,shot,n,33781,NA,8654,NA,NA,70,NA,1835
539288,goal,shot,n,33781,30734,8654,NA,NA,83,NA,1835
539170,goal,shot,n,38817,27430,10260,NA,NA,83,NA,1836
539703,goal,direct_freekick,n,24890,NA,8528,NA,NA,29,NA,1837
540227,goal,NA,p,127857,NA,8528,NA,NA,73,NA,1837
540401,goal,NA,p,40565,NA,10261,NA,NA,88,NA,1837
538534,goal,header,n,30822,30630,8455,NA,NA,3,NA,1838
538904,goal,shot,n,30631,38834,8455,NA,NA,45,2,1838
383158,goal,distance,n,38491,24753,8549,NA,NA,70,NA,1839
383417,goal,NA,o,24167,NA,8549,NA,NA,85,NA,1839
383558,goal,distance,n,30618,24635,8650,NA,NA,90,5,1839
382873,goal,shot,n,30352,NA,8472,NA,NA,56,NA,1840
383209,goal,loose_ball,n,30818,31097,8586,NA,NA,74,NA,1840
383352,goal,header,n,33418,24410,8472,NA,NA,83,NA,1840
383230,goal,header,n,30619,23983,10261,NA,NA,72,NA,1841
384884,goal,shot,n,51553,NA,8456,NA,NA,65,NA,1842
384913,goal,shot,n,40198,24213,8456,NA,NA,71,NA,1842
384941,goal,shot,n,40198,24213,8456,NA,NA,76,NA,1842
382458,goal,shot,n,34176,23922,8655,NA,NA,39,NA,1843
382486,goal,header,n,23438,23034,8667,NA,NA,40,NA,1843
383724,goal,volley,n,26777,24843,9879,NA,NA,21,NA,1844
383057,goal,header,dg,109058,NA,8668,NA,NA,64,NA,1845
383077,goal,shot,n,24006,24011,8668,NA,NA,65,NA,1845
383288,goal,header,n,24160,33086,8668,NA,NA,76,NA,1845
383474,goal,NA,p,32570,NA,8659,NA,NA,89,NA,1845
385689,goal,shot,n,24148,32569,10260,NA,NA,33,NA,1846
382318,goal,NA,p,24435,NA,10194,NA,NA,29,NA,1847
383048,goal,shot,n,26165,23354,10252,NA,NA,63,NA,1847
383370,goal,shot,n,38755,24435,10194,NA,NA,81,NA,1847
383408,goal,shot,n,43280,26165,10252,NA,NA,84,NA,1847
383562,goal,header,n,23314,25668,10194,NA,NA,90,5,1847
383945,goal,direct_freekick,n,30686,NA,8455,NA,NA,4,NA,1848
543015,goal,loose_ball,n,27430,NA,10260,NA,NA,69,NA,1849
542310,goal,header,n,38835,39297,9825,NA,NA,81,NA,1850
541190,goal,header,n,40005,33941,10194,NA,NA,4,NA,1851
541928,goal,shot,n,34543,24223,8654,NA,NA,51,NA,1851
542433,goal,shot,n,40611,34543,8654,NA,NA,87,NA,1851
541311,goal,direct_freekick,n,24011,NA,8668,NA,NA,10,NA,1852
541534,goal,deflected,n,24011,NA,8668,NA,NA,27,NA,1852
542358,goal,shot,n,46810,33086,8668,NA,NA,83,NA,1852
541033,goal,shot,n,30618,24800,8650,NA,NA,31,NA,1853
541036,goal,shot,dg,30619,NA,10261,NA,NA,34,NA,1853
541042,goal,header,n,24134,30618,8650,NA,NA,36,NA,1853
541057,goal,header,n,24234,40565,10261,NA,NA,45,1,1853
541066,goal,shot,n,30915,NA,8650,NA,NA,50,NA,1853
541088,goal,shot,n,30618,95327,8650,NA,NA,66,NA,1853
541106,goal,NA,p,30889,NA,8650,NA,NA,75,NA,1853
541111,goal,shot,dg,41175,NA,8650,NA,NA,79,NA,1853
542660,goal,shot,n,34947,34176,8655,NA,NA,45,1,1854
542766,goal,header,n,34176,19020,8655,NA,NA,84,NA,1854
542779,goal,volley,n,51553,NA,8456,NA,NA,88,NA,1854
542791,goal,shot,n,33974,51553,8456,NA,NA,90,4,1854
541290,goal,shot,n,30956,24020,9879,NA,NA,10,NA,1855
541877,goal,shot,n,30631,NA,8455,NA,NA,50,NA,1855
542199,goal,direct_freekick,n,30631,NA,8455,NA,NA,72,NA,1855
542426,goal,header,n,30956,30338,9879,NA,NA,89,NA,1855
541802,goal,NA,p,127857,NA,8528,NA,NA,44,NA,1856
542379,goal,header,n,32570,25922,8659,NA,NA,83,NA,1857
